acType,acClass,EngNumb-FAAWeightClass,ICAO WTC,RECAT 1.5 Wake Category,SRS,LAHSO,NumbEngines,EngType,WTClass
AS50,Helicopter,1T/S,Light,F,I,,1,T,S
AS55,Helicopter,2T/S,Light,F,I,,2,T,S
AS65,Helicopter,2T/S,Light,F,I,,2,T,S
AS80,Fixed-wing,1P/S,Light,F,I,,1,P,S
ASO4,Fixed-wing,1P/S,Light,F,I,,1,P,S
ASTO,Fixed-wing,1P/S,Light,F,I,,1,P,S
ASTR,Fixed-wing,2J/S+,Medium,F,III,7,2,J,S+
AT2P,Fixed-wing,1P/S,Light,F,I,,1,P,S
AT3*,Fixed-wing,2J/S+,Medium,F,III,,2,J,S+
AT3P,Fixed-wing,1P/S,Light,F,I,1,1,P,S
AT3T,Fixed-wing,1T/S,Light,F,I,,1,T,S
AT43,Fixed-wing,2T/L,Medium,E,III,3,2,T,L
AT44,Fixed-wing,2T/L,Medium,E,III,3,2,T,L
AT45,Fixed-wing,2T/L,Medium,E,III,3,2,T,L
AT46,Fixed-wing,2T/L,Medium,E,III,3,2,T,L
AT5P,Fixed-wing,1P/S,Light,F,I,,1,P,S
AT5T,Fixed-wing,1T/S,Light,F,I,,1,T,S
AT6T,Fixed-wing,1T/S,Light,F,I,,1,T,S
AT72,Fixed-wing,2T/L,Medium,E,III,3,2,T,L
AT73,Fixed-wing,2T/L,Medium,E,III,3,2,T,L
AT75,Fixed-wing,2T/L,Medium,E,III,3,2,T,L
AT76,Fixed-wing,2T/L,Medium,E,III,3,2,T,L
AT8T,Fixed-wing,1T/S+,Light/Medium,F,III,,1,T,S+
ATAC,Fixed-wing,1P/S,Light,F,I,,1,P,S
ATG1,Fixed-wing,2J/S,Light,F,III,,2,J,S
ATIS,Fixed-wing,1P/S,Light,F,I,,1,P,S
ATL,Fixed-wing,1P/S,Light,F,I,,1,P,S
ATLA,Fixed-wing,2T/L,Medium,D,III,,2,T,L
ATP,Fixed-wing,2T/L,Medium,D,III,6,2,T,L
ATTL,Fixed-wing,1P/S,Light,F,I,,1,P,S
AU11,Fixed-wing,1P/S,Light,F,I,,1,P,S
AUJ2,Fixed-wing,1P/S,Light,F,I,,1,P,S
AUJ4,Fixed-wing,1P/S,Light,F,I,,1,P,S
AUS3,Fixed-wing,1P/S,Light,F,I,,1,P,S
AUS4,Fixed-wing,1P/S,Light,F,I,,1,P,S
AUS5,Fixed-wing,1P/S,Light,F,I,,1,P,S
AUS6,Fixed-wing,1P/S,Light,F,I,,1,P,S
AUS7,Fixed-wing,1P/S,Light,F,I,,1,P,S
AUS9,Fixed-wing,1P/S,Light,F,I,,1,P,S
AV68,Fixed-wing,1P/S,Light,F,I,,1,P,S
AVAM,@Fixed-wing,1P/S,Light,F,I,,1,P,S
AVID,Fixed-wing,1P/S,Light,F,I,,1,P,S
AVIN,Fixed-wing,1P/S,Light,F,I,,1,P,S
AVK4,Fixed-wing,2T/S,Light,F,II,,2,T,S
AVLN,@Fixed-wing,1T/S,Light,F,I,,1,T,S
AVTR,@Fixed-wing,1P/S,Light,F,I,,1,P,S
B06,Helicopter,1T/S,Light,F,I,,1,T,S
B06T,Helicopter,2T/S,Light,F,I,,2,T,S
B1,Fixed-wing,4J/H,Heavy,C,III,,4,J,H
B103,@Fixed-wing,2P/S,Light,F,II,,2,P,S
B105,Helicopter,2T/S,Light,F,I,,2,T,S
B13,Fixed-wing,1P/S,Light,F,I,,1,P,S
B14A,Fixed-wing,1P/S,Light,F,I,1,1,P,S
B14B,Fixed-wing,1P/S,Light,F,I,,1,P,S
B14C,Fixed-wing,1P/S,Light,F,I,,1,P,S
B150,Helicopter,1T/S,Light,F,I,,1,T,S
B17,Fixed-wing,4P/L,Medium,D,III,,4,P,L
B18T,Fixed-wing,2T/S,Light,F,II,1,2,T,S
B190,Fixed-wing,2T/S+,Medium,F,III,7,2,T,S+
B2,Fixed-wing,4J/H,Heavy,C,III,,4,J,H
B209,Fixed-wing,1P/S,Light,F,I,4,1,P,S
B212,Helicopter,2T/S,Light,F,I,,2,T,S
B214,Helicopter,1T/S+,Medium,F,I,,1,T,S+
B222,Helicopter,2T/S,Light,F,I,,2,T,S
B23,Fixed-wing,2P/L,Medium,D,III,,2,P,L
B230,Helicopter,2T/S,Light,F,I,,2,T,S
B24,Fixed-wing,4P/L,Medium,D,III,,4,P,L
B25,Fixed-wing,2P/L,Medium,E,III,,2,P,L
B26,Fixed-wing,2P/L,Medium,E,III,,2,P,L
B26M,Fixed-wing,2P/S+,Medium,F,III,,2,P,S+
B29,Fixed-wing,4P/L,Medium,D,III,,4,P,L
B305,Helicopter,1P/S,Light,F,I,,1,P,S
B350,Fixed-wing,2T/S+,Light/ Medium,F,III,7,2,T,S+
B360,Fixed-wing,1P/S,Light,F,I,,1,P,S
B36T,Fixed-wing,1T/S,Light,F,I,1,1,T,S
B407,Helicopter,1T/S,Light,F,I,,1,T,S
B412,Helicopter,2T/S,Light,F,I,,2,T,S
B427,Helicopter,2T/S,Light,F,I,,2,T,S
B429,Helicopter,2T/S,Light,F,I,,2,T,S
B430,Helicopter,2T/S,Light,F,I,,2,T,S
B461,Fixed-wing,4J/L,Medium,E,III,7,4,J,L
B462,Fixed-wing,4J/L,Medium,E,III,7,4,J,L
B463,Fixed-wing,4J/L,Medium,E,III,7,4,J,L
B47G,Helicopter,1P/S,Light,F,I,,1,P,S
B47J,Helicopter,1P/S,Light,F,I,,1,P,S
B47T,Helicopter,1T/S,Light,F,I,,1,T,S
B52,Fixed-wing,8J/H,Heavy,B,III,,8,J,H
